datetime,temperature_from_humidity,temperature_from_pressure,pressure,humidity
2016-12-29T18:06:32.492066,-104.167,39.073,991.441,8.471
2016-12-29T18:07:32.583758,-103.746,39.071,991.436,8.534
2016-12-29T18:08:32.627984,-104.039,39.096,991.418,8.491
2016-12-29T18:09:32.754294,-105.284,38.906,991.325,8.303
2016-12-29T18:10:32.793883,-104.661,38.858,991.297,8.26
2016-12-29T18:11:32.895124,-105.339,38.656,991.302,8.293
2016-12-29T18:12:32.991796,-105.961,38.671,991.291,8.227
2016-12-29T18:13:33.091133,-106.199,38.629,991.263,8.165
2016-12-29T18:14:33.128738,-104.899,38.527,991.245,8.362
2016-12-29T18:15:33.227187,-104.277,38.46,991.2,8.455
2016-12-29T18:16:33.326759,-106.035,38.517,991.174,8.191
2016-12-29T18:17:33.367101,-106.492,38.369,991.123,8.122
2016-12-29T18:18:33.461906,-108.158,38.39,991.082,7.871
2016-12-29T18:19:33.560407,-106.694,38.342,991.057,8.092
2016-12-29T18:20:33.631023,-106.163,38.373,991.041,8.171
2016-12-29T18:21:33.644507,-108.03,38.31,991.006,7.891
2016-12-29T18:22:33.687313,-106.51,38.381,991.0,8.119
2016-12-29T18:23:33.785850,-107.572,38.383,990.972,7.96
2016-12-29T18:24:33.875346,-108.378,38.404,990.979,7.895
2016-12-29T18:25:33.941212,-107.462,38.385,990.924,7.977
2016-12-29T18:26:33.982307,-107.572,38.279,990.903,8.03
2016-12-29T18:27:34.041196,-108.689,38.356,990.833,7.792
2016-12-29T18:28:34.109443,-108.067,38.277,990.801,7.885
2016-12-29T18:29:34.151863,-107.957,38.381,990.751,7.901
2016-12-29T18:30:34.159459,-107.774,38.404,990.743,7.928
2016-12-29T18:31:34.168882,-107.847,38.335,990.727,7.918
2016-12-29T18:32:34.266475,-108.964,38.31,990.742,7.75
2016-12-29T18:33:34.319208,-109.714,38.329,990.9,7.638
2016-12-29T18:34:34.417986,-109.44,38.281,990.715,7.677
2016-12-29T18:35:34.544369,-109.037,38.383,990.649,7.74
2016-12-29T18:36:34.643146,-108.726,38.362,990.663,7.792
